protein_id,symbol,community,degree,annotation
10090.ENSMUSP00000028553,Nop10,0,36,"H/ACA ribonucleoprotein complex subunit 3; Required for ribosome biogenesis and telomere maintenance. Part of the H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1. Each rRNA can contain up to 100 pseudouridine ('psi') residues, which may serve to stabilize the conformation of rRNAs. May also be required for correct processing or intranuclear trafficking of TERC, the RNA component of the telomerase reverse tran [...] "
10090.ENSMUSP00000026128,Anapc11,8,53,"Anaphase-promoting complex subunit 11; Together with the cullin protein ANAPC2, constitutes the catalytic component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains. May recruit the E2 ubiquitin-conjugati [...] "
10090.ENSMUSP00000133215,Atg7,4,37,Ubiquitin-like modifier-activating enzyme ATG7; E1-like activating enzyme involved in the 2 ubiquitin-like systems required for cytoplasm to vacuole transport (Cvt) and autophagy. Activates ATG12 for its conjugation with ATG5 as well as the ATG8 family proteins for their conjugation with phosphatidylethanolamine. Both systems are needed for the ATG8 association to Cvt vesicles and autophagosomes membranes. Required for autophagic death induced by caspase-8 inhibition. Required for mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria [...] 
10090.ENSMUSP00000079379,Abce1,3,108,"ATP-binding cassette sub-family E member 1; Antagonizes the binding of 2-5A (5'-phosphorylated 2',5'- linked oligoadenylates) by RNase L through direct interaction with RNase L and therefore inhibits its endoribonuclease activity. May play a central role in the regulation of mRNA turnover. Antagonizes the anti-viral effect of the interferon-regulated 2-5A/RNase L pathway (By similarity); Belongs to the ABC transporter superfamily. ABCE family."
10090.ENSMUSP00000081474,Rplp2,3,157,60S acidic ribosomal protein P2; Plays an important role in the elongation step of protein synthesis; Belongs to the eukaryotic ribosomal protein P1/P2 family.
10090.ENSMUSP00000030464,Pik3r3,4,100,"Phosphatidylinositol 3-kinase regulatory subunit gamma; Binds to activated (phosphorylated) protein-tyrosine kinases through its SH2 domain and regulates their kinase activity. During insulin stimulation, it also binds to IRS-1."
10090.ENSMUSP00000010550,Mrpl52,3,85,"39S ribosomal protein L52, mitochondrial."
10090.ENSMUSP00000126120,Arf1,4,15,"ADP-ribosylation factor 1; GTP-binding protein involved in protein trafficking among different compartments. Modulates vesicle budding and uncoating within the Golgi complex. Deactivation induces the redistribution of the entire Golgi complex to the endoplasmic reticulum, suggesting a crucial role in protein trafficking. In its GTP-bound form, its triggers the association with coat proteins with the Golgi membrane. The hydrolysis of ARF1-bound GTP, which is mediated by ARFGAPs proteins, is required for dissociation of coat proteins from Golgi membranes and vesicles. The GTP-bound form  [...] "
10090.ENSMUSP00000034014,Fgf20,4,50,Fibroblast growth factor 20; Neurotrophic factor that regulates central nervous development and function.
10090.ENSMUSP00000031024,Mrpl33,3,177,"39S ribosomal protein L33, mitochondrial; Belongs to the bacterial ribosomal protein bL33 family."
10090.ENSMUSP00000080997,mt-Co3,9,79,"Cytochrome c oxidase subunit 3; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and t [...] "
10090.ENSMUSP00000127684,H2ac6,8,44,H2A clustered histone 6.
10090.ENSMUSP00000033824,Lamp1,4,42,Lysosome-associated membrane glycoprotein 1; Presents carbohydrate ligands to selectins. Also implicated in tumor cell metastasis.
10090.ENSMUSP00000075513,Eno1b,9,41,"Alpha-enolase; Glycolytic enzyme the catalyzes the conversion of 2- phosphoglycerate to phosphoenolpyruvate. In addition to glycolysis, involved in various processes such as growth control, hypoxia tolerance and allergic responses. May also function in the intravascular and pericellular fibrinolytic system due to its ability to serve as a receptor and activator of plasminogen on the cell surface of several cell-types such as leukocytes and neurons. Stimulates immunoglobulin production; Belongs to the enolase family."
10090.ENSMUSP00000031186,Ugt2b35,7,53,UDP-glucuronosyltransferase; Belongs to the UDP-glycosyltransferase family.
10090.ENSMUSP00000114895,Mus81,8,55,"Crossover junction endonuclease MUS81; Interacts with EME1 and EME2 to form a DNA structure-specific endonuclease with substrate preference for branched DNA structures with a 5'-end at the branch nick. Typical substrates include 3'-flap structures, replication forks and nicked Holliday junctions. May be required in mitosis for the processing of stalled or collapsed replication forks."
10090.ENSMUSP00000125777,Lck,4,65,"Proto-oncogene tyrosine-protein kinase LCK; Non-receptor tyrosine-protein kinase that plays an essential role in the selection and maturation of developing T-cells in the thymus and in the function of mature T-cells. Plays a key role in T- cell antigen receptor (TCR)-linked signal transduction pathways. Constitutively associated with the cytoplasmic portions of the CD4 and CD8 surface receptors. Association of the TCR with a peptide antigen- bound MHC complex facilitates the interaction of CD4 and CD8 with MHC class II and class I molecules, respectively, thereby recruiting the associa [...] "
10090.ENSMUSP00000015138,Eln,4,24,"Elastin; Major structural protein of tissues such as aorta and nuchal ligament, which must expand rapidly and recover completely. Molecular determinant of the late arterial morphogenesis, stabilizing arterial structure by regulating proliferation and organization of vascular smooth muscle."
10090.ENSMUSP00000036044,Apob,4,39,"Apolipoprotein B-100; Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B- 100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor."
10090.ENSMUSP00000075226,Mrpl42,3,85,"39S ribosomal protein L42, mitochondrial; Belongs to the mitochondrion-specific ribosomal protein mL42 family."
10090.ENSMUSP00000022098,Mrpl36,3,185,"39S ribosomal protein L36, mitochondrial; Belongs to the bacterial ribosomal protein bL36 family."
10090.ENSMUSP00000128803,Myl6,4,15,Myosin light polypeptide 6; Regulatory light chain of myosin. Does not bind calcium.
10090.ENSMUSP00000031314,Alb,4,124,"Serum albumin; Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood. Major zinc transporter in plasma, typically binds about 80% of all plasma zinc (By similarity). Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific manner (B [...] "
10090.ENSMUSP00000005164,Prkacb,4,123,"cAMP-dependent protein kinase catalytic subunit beta; Mediates cAMP-dependent signaling triggered by receptor binding to GPCRs. PKA activation regulates diverse cellular processes such as cell proliferation, the cell cycle, differentiation and regulation of microtubule dynamics, chromatin condensation and decondensation, nuclear envelope disassembly and reassembly, as well as regulation of intracellular transport mechanisms and ion flux. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subu [...] "
10090.ENSMUSP00000099862,Tek,4,46,"Angiopoietin-1 receptor; Tyrosine-protein kinase that acts as cell-surface receptor for ANGPT1, ANGPT2 and ANGPT4 and regulates angiogenesis, endothelial cell survival, proliferation, migration, adhesion and cell spreading, reorganization of the actin cytoskeleton, but also maintenance of vascular quiescence. Has anti-inflammatory effects by preventing the leakage of proinflammatory plasma proteins and leukocytes from blood vessels. Required for normal angiogenesis and heart development during embryogenesis. Required for post-natal hematopoiesis. After birth, activates or inhibits angi [...] "
10090.ENSMUSP00000110451,Fance,3,206,"Fanconi anemia, complementation group E."
10090.ENSMUSP00000027139,Wdr75,0,139,WD repeat-containing protein 75; Ribosome biogenesis factor. Involved in nucleolar processing of pre-18S ribosomal RNA. Required for optimal pre-ribosomal RNA transcription by RNA polymerase I.
10090.ENSMUSP00000113810,Pld1,7,17,"Phospholipase D1; Implicated as a critical step in numerous cellular pathways, including signal transduction, membrane trafficking, and the regulation of mitosis. May be involved in the regulation of perinuclear intravesicular membrane traffic."
10090.ENSMUSP00000026270,Sacm1l,4,38,"Phosphatidylinositide phosphatase SAC1; Phosphoinositide phosphatase that hydrolyzes phosphatidylinositol 3-phosphate (PtdIns(3)P) and phosphatidylinositol 4-phosphate (PtdIns(4)P) (By similarity). Has low activity towards PtdIns(3,5)P2 (By similarity)."
